step,timestamp,altitude_m,pitch_deg,roll_deg,heading_deg,latitude,longitude,airspeed_kts,reward,episode,total_reward
1,8.936306476593018,99.44972229003906,2.1256141662597656,3.022655963897705,180.38772583007812,47.463626861572266,-122.31787109375,0.0,-0.604531192779541,2,0.0
2,10.166333198547363,99.45389556884766,1.9211736917495728,3.1005918979644775,182.05960083007812,47.463623046875,-122.31787109375,0.0,-0.6201183795928955,2,0.0
3,11.500917196273804,99.45359802246094,1.8825479745864868,3.1151134967803955,184.36932373046875,47.463623046875,-122.31787109375,0.0,9.37697730064392,2,0.0
4,12.572113275527954,99.46589660644531,2.368468761444092,3.25884747505188,184.14422607421875,47.4636116027832,-122.31787109375,0.0,0.08854992091655722,2,0.0
5,14.013776063919067,99.52033233642578,1.4916176795959473,3.0785813331604004,169.01895141601562,47.46358871459961,-122.31787109375,0.0,9.38428373336792,2,0.0
6,14.94945502281189,99.5693588256836,1.8787827491760254,2.7259316444396973,167.68429565429688,47.46357345581055,-122.31786346435547,0.0,-0.5451863288879395,2,0.0
7,16.05120348930359,99.61489868164062,2.084080934524536,2.9453837871551514,173.58592224121094,47.463558197021484,-122.31785583496094,0.0,1.915396273136139,2,0.0
8,17.276917695999146,99.68048095703125,2.408238649368286,2.9255123138427734,169.28477478027344,47.463531494140625,-122.31785583496094,0.0,-0.5851024627685547,2,0.0
9,18.817267417907715,99.7382583618164,2.7182490825653076,2.807713508605957,165.9061279296875,47.4635124206543,-122.3178482055664,0.0,-0.5615427017211915,2,0.0
10,19.63880491256714,99.82711029052734,2.6429686546325684,2.801676034927368,164.1141357421875,47.46348571777344,-122.31783294677734,0.0,4.444340181350708,2,0.0
11,20.676467180252075,99.8600845336914,2.677891731262207,2.7927114963531494,164.38746643066406,47.46347427368164,-122.31783294677734,0.0,-0.5585422992706299,2,0.0
12,21.794073343276978,99.87842559814453,1.943411946296692,3.0853524208068848,174.7108612060547,47.46346664428711,-122.31783294677734,0.0,-0.617070484161377,2,0.0
13,23.11989951133728,99.87864685058594,1.885461449623108,3.1891016960144043,180.04766845703125,47.46346664428711,-122.31783294677734,0.0,-0.637820339202881,2,0.0
14,23.913480043411255,99.87847137451172,2.2209208011627197,3.1398720741271973,177.69471740722656,47.46346664428711,-122.31783294677734,0.0,-0.6279744148254395,2,0.0
15,24.96391201019287,99.87876892089844,2.3041160106658936,3.136272430419922,176.627685546875,47.46346664428711,-122.31783294677734,0.0,-0.6272544860839844,2,0.0
16,30.74506902694702,99.87867736816406,2.4900765419006348,3.1038410663604736,175.47613525390625,47.46346664428711,-122.31783294677734,0.0,-0.6207682132720947,2,0.0
17,31.31575918197632,99.87858581542969,2.4872918128967285,3.088102102279663,175.44143676757812,47.46346664428711,-122.31783294677734,0.0,2.9870282888412474,2,0.0
18,32.311484575271606,99.87921905517578,2.3757102489471436,3.094848871231079,175.33985900878906,47.46346664428711,-122.31783294677734,0.0,-0.6189697742462159,2,0.0
19,32.76015305519104,99.8802719116211,2.569601058959961,3.0584638118743896,173.3849639892578,47.46346664428711,-122.31783294677734,0.0,9.31123127937317,2,0.0
20,33.46143198013306,99.88335418701172,2.0374462604522705,2.9932265281677246,173.10740661621094,47.46346664428711,-122.31783294677734,0.0,-0.5986453056335449,2,0.0
21,33.999491691589355,99.88528442382812,2.23014497756958,3.0954034328460693,170.48439025878906,47.463462829589844,-122.31782531738281,0.0,9.201879477500915,2,0.0
22,34.63257098197937,99.88916015625,2.4537601470947266,2.827397108078003,165.6168975830078,47.463462829589844,-122.31782531738281,0.0,3.4782427310943604,2,0.0
23,35.718851804733276,99.89471435546875,1.9904879331588745,2.8932740688323975,164.62916564941406,47.463462829589844,-122.31782531738281,0.0,-0.5786548137664795,2,0.0
24,36.30149793624878,99.89107513427734,3.434142589569092,2.7605838775634766,161.2527618408203,47.463462829589844,-122.31782531738281,0.0,-0.5521167755126953,2,0.0
25,37.12267351150513,99.89531707763672,2.745938777923584,2.683140754699707,159.72244262695312,47.463462829589844,-122.31782531738281,0.0,-0.5366281509399414,2,0.0
26,37.84457349777222,99.89212799072266,3.236703395843506,2.6484124660491943,159.51417541503906,47.463462829589844,-122.31782531738281,0.0,-0.5296824932098388,2,0.0
27,38.45370030403137,99.89157104492188,3.2819530963897705,2.6591012477874756,159.55735778808594,47.463462829589844,-122.31782531738281,0.0,9.468179750442506,2,0.0
28,38.849390268325806,99.89537811279297,2.8169748783111572,2.6056292057037354,158.9634552001953,47.463462829589844,-122.31782531738281,0.0,0.6440998136997222,2,0.0
29,39.63275218009949,99.89862060546875,2.382728099822998,2.703927993774414,158.99566650390625,47.463462829589844,-122.31782531738281,0.0,-0.5407855987548829,2,0.0
30,40.19806957244873,99.89852905273438,3.0340843200683594,2.6590659618377686,158.5877685546875,47.46345901489258,-122.31782531738281,0.0,8.080104899406432,2,0.0
31,40.86110806465149,99.90349578857422,2.5610439777374268,2.5503878593444824,156.95346069335938,47.46345901489258,-122.31782531738281,0.0,-0.5100775718688965,2,0.0
32,41.30837416648865,99.90425872802734,3.6935181617736816,2.4160683155059814,150.77352905273438,47.46345901489258,-122.31782531738281,0.0,2.210967540740967,2,0.0
